1 2 1.0
1 3 1581.0
1 4 11799.0
1 5 7374.0
1 6 3062.0
1 7 470.0
1 9 1.0
1 13 3717.0
1 14 139.0
1 15 306.0
1 16 284.0
1 17 11.0
1 18 303.0
1 19 16.0
1 20 22.0
1 21 344.0
1 22 436.0
1 26 3.0
1 31 547.0
1 44 5.0
1 46 29.0
1 47 2.0
1 51 3.0
1 52 2.0
1 53 1.0
1 54 1.0
1 65 181.0
1 66 178.0
1 67 9.0
1 68 10.0
1 70 8.0
1 71 3.0
1 72 170.0
1 75 82.0
1 76 170.0
1 77 233.0
1 79 5.0
1 81 4.0
1 82 4.0
1 84 2.0
1 85 14.0
1 87 29.0
1 88 382.0
1 89 96.0
1 90 1188.0
1 91 1466.0
1 92 454.0
1 93 421.0
1 94 167.0
1 98 1.0
1 100 1.0
1 103 57.0
1 106 40.0
1 107 443.0
1 110 861.0
1 111 251.0
1 112 609.0
1 118 10.0
1 119 426.0
1 120 310.0
1 121 3186.0
1 122 122.0
1 123 290.0
1 124 14.0
1 125 929.0
1 126 335.0
1 127 385.0
1 128 830.0
1 129 2498.0
1 130 2683.0
1 131 349.0
1 132 1409.0
1 133 390.0
1 134 460.0
1 135 1424.0
1 136 71.0
1 137 267.0
1 138 430.0
1 139 130.0
1 142 432.0
1 143 17.0
1 144 2.0
1 145 3.0
1 146 13.0
1 149 4.0
1 150 2.0
1 151 8.0
1 152 2186.0
1 153 405.0
1 154 197.0
1 155 144.0
1 156 1.0
1 157 97.0
1 158 22.0
1 160 504.0
1 163 322.0
1 165 55.0
1 166 41.0
1 167 296.0
1 169 177.0
1 170 69.0
1 171 33.0
1 172 1293.0
1 173 31.0
1 175 93.0
1 176 2410.0
1 177 919.0
1 178 493.0
2 3 3.0
2 4 74.0
2 5 117.0
2 6 161.0
2 8 1.0
2 11 3.0
2 12 46.0
2 13 100.0
2 15 1.0
2 16 81.0
2 17 10.0
2 18 342.0
2 19 106.0
2 20 268.0
2 21 443.0
2 22 129.0
2 23 1201.0
2 24 1.0
2 25 5.0
2 37 2.0
2 38 2.0
2 39 1.0
2 42 6.0
2 45 1.0
2 46 2.0
2 47 1.0
2 49 9.0
2 52 2.0
2 66 2.0
2 67 53.0
2 72 7.0
2 73 23.0
2 75 3.0
2 76 4.0
2 77 1.0
2 87 4.0
2 88 1.0
2 89 2.0
2 90 25.0
2 91 26.0
2 92 24.0
2 93 1.0
2 94 23.0
2 95 2.0
2 96 2.0
2 97 2.0
2 106 1.0
2 107 2.0
2 110 2.0
2 111 17.0
2 112 2.0
2 124 1.0
2 125 21.0
2 127 67.0
2 128 1.0
2 129 18.0
2 130 61.0
2 131 16.0
2 132 204.0
2 133 190.0
2 134 359.0
2 135 61.0
2 136 632.0
2 137 131.0
2 138 563.0
2 139 10.0
2 140 687.0
2 141 1370.0
2 142 1.0
2 143 507.0
2 144 1.0
2 145 8.0
2 146 32.0
