1 2 5915.0
1 3 3441.0
1 4 20720.0
1 5 13514.0
1 6 4743.0
1 7 145.0
1 8 14.0
1 9 34.0
1 10 2.0
1 13 4667.0
1 14 247.0
1 15 1583.0
1 16 1173.0
1 17 16.0
1 18 443.0
1 19 249.0
1 20 645.0
1 21 647.0
1 22 586.0
1 23 58.0
1 24 4.0
1 26 11.0
1 28 1.0
1 30 26.0
1 31 633.0
1 46 16.0
1 48 1.0
1 50 10.0
1 51 21.0
1 53 13.0
1 54 23.0
1 63 5.0
1 64 82.0
1 65 100.0
1 66 23.0
1 69 4.0
1 70 11.0
1 72 454.0
1 74 1.0
1 75 635.0
1 76 870.0
1 77 1157.0
1 85 5.0
1 88 161.0
1 89 10.0
1 90 496.0
1 91 1841.0
1 92 338.0
1 93 325.0
1 94 36.0
1 95 1.0
1 96 1.0
1 97 1.0
1 98 6.0
1 99 3.0
1 100 25.0
1 103 134.0
1 106 256.0
1 107 323.0
1 108 11.0
1 109 39.0
1 110 1291.0
1 111 391.0
1 112 375.0
1 113 27.0
1 114 10.0
1 115 4.0
1 117 1.0
1 119 703.0
1 120 423.0
1 121 4293.0
1 122 125.0
1 123 229.0
1 124 154.0
1 125 692.0
1 126 296.0
1 127 279.0
1 128 1532.0
1 129 2011.0
1 130 589.0
1 131 421.0
1 132 519.0
1 133 279.0
1 134 921.0
1 135 1108.0
1 136 269.0
1 137 142.0
1 138 579.0
1 139 1344.0
1 140 19.0
1 141 30.0
1 142 238.0
1 143 192.0
1 145 3.0
1 146 25.0
1 148 1.0
1 150 418.0
1 151 24.0
1 152 1161.0
1 153 1178.0
1 154 40.0
1 155 189.0
1 156 160.0
1 157 4532.0
1 158 208.0
1 159 164.0
1 160 868.0
1 163 205.0
1 164 1.0
1 165 52.0
1 166 233.0
1 167 774.0
1 169 740.0
1 170 19.0
1 171 85.0
1 172 871.0
1 173 173.0
1 174 78.0
1 175 215.0
1 176 1286.0
1 177 327.0
1 178 241.0
2 3 14.0
2 4 4490.0
2 5 3006.0
2 6 3830.0
2 7 16.0
2 8 25.0
2 9 35.0
2 10 54.0
2 11 143.0
2 12 235.0
2 13 442.0
2 16 277.0
2 17 51.0
2 18 803.0
2 19 751.0
2 20 2594.0
2 21 912.0
2 22 427.0
2 23 6182.0
2 25 6.0
2 26 79.0
2 28 84.0
2 41 1.0
2 43 13.0
2 44 45.0
2 46 4.0
2 47 308.0
2 48 85.0
2 49 25.0
2 50 11.0
2 51 20.0
2 52 511.0
2 53 12.0
2 54 54.0
2 55 7.0
2 62 2.0
2 63 3.0
2 64 1.0
2 66 8.0
2 67 14.0
2 68 674.0
2 69 87.0
2 70 235.0
2 72 5.0
2 73 57.0
2 74 1.0
2 75 494.0
2 76 752.0
2 77 549.0
2 85 4.0
2 90 25.0
2 91 91.0
2 92 24.0
2 93 8.0
2 94 3.0
2 95 13.0
2 96 414.0
2 97 501.0
2 98 294.0
2 99 2.0
2 100 13.0
2 103 120.0
2 106 101.0
2 107 145.0
2 108 4.0
2 109 25.0
2 110 66.0
2 111 270.0
2 112 169.0
2 113 9.0
2 114 11.0
2 115 2.0
2 116 19.0
2 117 709.0
2 120 16.0
2 122 20.0
2 123 72.0
2 124 25.0
2 125 321.0
2 127 9.0
2 128 1116.0
2 129 1830.0
