tract,weight,absolute_weight
CGC_L_dki_mk,0.6279994575499178,0.6279994575499178
CST_R_dki_mk,-0.5464148499340757,0.5464148499340757
Orbital_dki_mk,0.4702315761909244,0.4702315761909244
UNC_R_dki_mk,0.3966054754875365,0.3966054754875365
UNC_L_dki_mk,-0.3474772568279828,0.3474772568279828
ATR_L_dki_mk,-0.34303672077621494,0.34303672077621494
Temporal_dki_mk,0.29766807721594674,0.29766807721594674
SupFrontal_dki_mk,-0.29427423616584947,0.29427423616584947
Occipital_dki_mk,0.2646644060806278,0.2646644060806278
SLF_R_dki_mk,0.23176036221085378,0.23176036221085378
ARC_R_dki_mk,-0.21085580323932165,0.21085580323932165
ILF_R_dki_mk,-0.19898384372207434,0.19898384372207434
ILF_L_dki_mk,0.1889038947458365,0.1889038947458365
CGC_R_dki_mk,0.1672190580919199,0.1672190580919199
SupParietal_dki_mk,-0.1661128734626391,0.1661128734626391
ATR_R_dki_mk,-0.155470878983098,0.155470878983098
IFO_R_dki_mk,-0.13159440195667238,0.13159440195667238
AntFrontal_dki_mk,-0.11740755377819098,0.11740755377819098
CST_L_dki_mk,-0.11362195552481662,0.11362195552481662
SLF_L_dki_mk,0.10635393551976538,0.10635393551976538
Motor_dki_mk,0.09738001848384209,0.09738001848384209
ARC_L_dki_mk,-0.06636810607431338,0.06636810607431338
PostParietal_dki_mk,0.010910816258585173,0.010910816258585173
IFO_L_dki_mk,-0.004623820589319372,0.004623820589319372
