tract,weight,absolute_weight
ATR_L_dki_awf,-0.3777889975448981,0.3777889975448981
Orbital_dki_awf,0.3072501782989697,0.3072501782989697
ARC_R_dki_awf,-0.2657080551657394,0.2657080551657394
ILF_R_dki_awf,0.22128708815591394,0.22128708815591394
ATR_R_dki_awf,-0.22098770679150134,0.22098770679150134
SupFrontal_dki_awf,-0.1753916064590454,0.1753916064590454
UNC_L_dki_awf,-0.17305415634909158,0.17305415634909158
ILF_L_dki_awf,0.16574866741545544,0.16574866741545544
AntFrontal_dki_awf,0.1651109560932729,0.1651109560932729
UNC_R_dki_awf,0.159943957403105,0.159943957403105
ARC_L_dki_awf,0.14164597637404125,0.14164597637404125
CST_R_dki_awf,0.12094799262754295,0.12094799262754295
SLF_L_dki_awf,0.11433976943113437,0.11433976943113437
SLF_R_dki_awf,0.10705598143555912,0.10705598143555912
Occipital_dki_awf,0.0903941768528011,0.0903941768528011
PostParietal_dki_awf,-0.07648146154295926,0.07648146154295926
Motor_dki_awf,0.06591362494690546,0.06591362494690546
CGC_R_dki_awf,-0.0622830862860356,0.0622830862860356
SupParietal_dki_awf,-0.05474928039972783,0.05474928039972783
CST_L_dki_awf,0.04772570712980298,0.04772570712980298
Temporal_dki_awf,0.04637498762531923,0.04637498762531923
IFO_L_dki_awf,-0.026497061626839534,0.026497061626839534
CGC_L_dki_awf,-0.023153475597550155,0.023153475597550155
IFO_R_dki_awf,0.02093951957328949,0.02093951957328949
