tract,weight,absolute_weight
AntFrontal_dki_md,-1.0604280735351008,1.0604280735351008
CGC_L_dki_md,0.836949231065426,0.836949231065426
SupFrontal_dki_md,0.6447251621964395,0.6447251621964395
ATR_L_dki_md,0.5326588647306005,0.5326588647306005
ARC_R_dki_md,-0.4079194536337788,0.4079194536337788
Motor_dki_md,0.35183670398054545,0.35183670398054545
ATR_R_dki_md,0.3357812169276819,0.3357812169276819
ILF_R_dki_md,0.32881211828889767,0.32881211828889767
ARC_L_dki_md,-0.3283088856401948,0.3283088856401948
SLF_R_dki_md,-0.2911386501712715,0.2911386501712715
Temporal_dki_md,0.2667828639674539,0.2667828639674539
IFO_R_dki_md,-0.2520356684437333,0.2520356684437333
PostParietal_dki_md,-0.24403589913589685,0.24403589913589685
UNC_R_dki_md,-0.17524518523199822,0.17524518523199822
SLF_L_dki_md,-0.16904772582974326,0.16904772582974326
Orbital_dki_md,-0.15225271282776998,0.15225271282776998
Occipital_dki_md,0.14988898913658602,0.14988898913658602
UNC_L_dki_md,0.12287526853682446,0.12287526853682446
CGC_R_dki_md,-0.11802756257528693,0.11802756257528693
SupParietal_dki_md,-0.08445172905056206,0.08445172905056206
IFO_L_dki_md,0.06922206634896717,0.06922206634896717
CST_R_dki_md,0.053593531741883686,0.053593531741883686
ILF_L_dki_md,-0.049822981040019275,0.049822981040019275
CST_L_dki_md,0.03239624457076258,0.03239624457076258
