metric,n_subjects,n_features,prediction_r,prediction_p,selected_alpha_full_sample
FA,1030,24,0.14605129971642794,2.5153334088511016e-06,244.20530945486496
MD,1030,24,0.09192266308004347,0.0031490417801993556,184.20699693267164
MK,1030,24,0.028585179164387423,0.35941782362624947,323.745754281764
AWF,1030,24,0.00035642038750521073,0.9908844242081808,754.3120063354608
